disease_id,disease,type,urgency
DIS-001,flu,viral,MEDIUM
DIS-002,covid19,viral,HIGH
DIS-003,dengue,viral,HIGH
DIS-004,cardiac_event,cardiovascular,CRITICAL
DIS-005,diabetes,metabolic,MEDIUM
DIS-006,common_cold,viral,LOW
DIS-007,tuberculosis,bacterial,HIGH
DIS-008,meningitis,bacterial,CRITICAL
DIS-009,pneumonia,bacterial,HIGH
DIS-010,malaria,parasitic,HIGH
DIS-011,hypertension,cardiovascular,MEDIUM
DIS-012,asthma_attack,respiratory,CRITICAL
DIS-013,stroke,neurological,CRITICAL
DIS-014,gastroenteritis,viral,MEDIUM
DIS-015,appendicitis,gastrointestinal,CRITICAL
DIS-016,migraine,neurological,LOW
DIS-017,sepsis,systemic,CRITICAL
DIS-018,kidney_failure,renal,CRITICAL
DIS-019,bronchitis,respiratory,MEDIUM
DIS-020,anemia,hematological,LOW
DIS-021,flu_variant_2,viral,MEDIUM
DIS-022,covid19_variant_2,viral,HIGH
DIS-023,dengue_variant_2,viral,HIGH
DIS-024,cardiac_event_variant_2,cardiovascular,CRITICAL
DIS-025,diabetes_variant_2,metabolic,MEDIUM
DIS-026,common_cold_variant_2,viral,LOW
DIS-027,tuberculosis_variant_2,bacterial,HIGH
DIS-028,meningitis_variant_2,bacterial,CRITICAL
DIS-029,pneumonia_variant_2,bacterial,HIGH
DIS-030,malaria_variant_2,parasitic,HIGH
DIS-031,hypertension_variant_2,cardiovascular,MEDIUM
DIS-032,asthma_attack_variant_2,respiratory,CRITICAL
DIS-033,stroke_variant_2,neurological,CRITICAL
DIS-034,gastroenteritis_variant_2,viral,MEDIUM
DIS-035,appendicitis_variant_2,gastrointestinal,CRITICAL
DIS-036,migraine_variant_2,neurological,LOW
DIS-037,sepsis_variant_2,systemic,CRITICAL
DIS-038,kidney_failure_variant_2,renal,CRITICAL
DIS-039,bronchitis_variant_2,respiratory,MEDIUM
DIS-040,anemia_variant_2,hematological,LOW
DIS-041,flu_variant_3,viral,MEDIUM
DIS-042,covid19_variant_3,viral,HIGH
DIS-043,dengue_variant_3,viral,HIGH
DIS-044,cardiac_event_variant_3,cardiovascular,CRITICAL
DIS-045,diabetes_variant_3,metabolic,MEDIUM
DIS-046,common_cold_variant_3,viral,LOW
DIS-047,tuberculosis_variant_3,bacterial,HIGH
DIS-048,meningitis_variant_3,bacterial,CRITICAL
DIS-049,pneumonia_variant_3,bacterial,HIGH
DIS-050,malaria_variant_3,parasitic,HIGH
DIS-051,hypertension_variant_3,cardiovascular,MEDIUM
DIS-052,asthma_attack_variant_3,respiratory,CRITICAL
DIS-053,stroke_variant_3,neurological,CRITICAL
DIS-054,gastroenteritis_variant_3,viral,MEDIUM
DIS-055,appendicitis_variant_3,gastrointestinal,CRITICAL
DIS-056,migraine_variant_3,neurological,LOW
DIS-057,sepsis_variant_3,systemic,CRITICAL
DIS-058,kidney_failure_variant_3,renal,CRITICAL
DIS-059,bronchitis_variant_3,respiratory,MEDIUM
DIS-060,anemia_variant_3,hematological,LOW
DIS-061,flu_variant_4,viral,MEDIUM
DIS-062,covid19_variant_4,viral,HIGH
DIS-063,dengue_variant_4,viral,HIGH
DIS-064,cardiac_event_variant_4,cardiovascular,CRITICAL
DIS-065,diabetes_variant_4,metabolic,MEDIUM
DIS-066,common_cold_variant_4,viral,LOW
DIS-067,tuberculosis_variant_4,bacterial,HIGH
DIS-068,meningitis_variant_4,bacterial,CRITICAL
DIS-069,pneumonia_variant_4,bacterial,HIGH
DIS-070,malaria_variant_4,parasitic,HIGH
DIS-071,hypertension_variant_4,cardiovascular,MEDIUM
DIS-072,asthma_attack_variant_4,respiratory,CRITICAL
DIS-073,stroke_variant_4,neurological,CRITICAL
DIS-074,gastroenteritis_variant_4,viral,MEDIUM
DIS-075,appendicitis_variant_4,gastrointestinal,CRITICAL
DIS-076,migraine_variant_4,neurological,LOW
DIS-077,sepsis_variant_4,systemic,CRITICAL
DIS-078,kidney_failure_variant_4,renal,CRITICAL
DIS-079,bronchitis_variant_4,respiratory,MEDIUM
DIS-080,anemia_variant_4,hematological,LOW
DIS-081,flu_variant_5,viral,MEDIUM
DIS-082,covid19_variant_5,viral,HIGH
DIS-083,dengue_variant_5,viral,HIGH
DIS-084,cardiac_event_variant_5,cardiovascular,CRITICAL
DIS-085,diabetes_variant_5,metabolic,MEDIUM
DIS-086,common_cold_variant_5,viral,LOW
DIS-087,tuberculosis_variant_5,bacterial,HIGH
DIS-088,meningitis_variant_5,bacterial,CRITICAL
DIS-089,pneumonia_variant_5,bacterial,HIGH
DIS-090,malaria_variant_5,parasitic,HIGH
DIS-091,hypertension_variant_5,cardiovascular,MEDIUM
DIS-092,asthma_attack_variant_5,respiratory,CRITICAL
DIS-093,stroke_variant_5,neurological,CRITICAL
DIS-094,gastroenteritis_variant_5,viral,MEDIUM
DIS-095,appendicitis_variant_5,gastrointestinal,CRITICAL
DIS-096,migraine_variant_5,neurological,LOW
DIS-097,sepsis_variant_5,systemic,CRITICAL
DIS-098,kidney_failure_variant_5,renal,CRITICAL
DIS-099,bronchitis_variant_5,respiratory,MEDIUM
DIS-100,anemia_variant_5,hematological,LOW
