symptom_id,symptom,category,severity_weight
SYM-001,fever,systemic,0.64
SYM-002,high_fever,systemic,0.12
SYM-003,chills,systemic,0.33
SYM-004,fatigue,systemic,0.29
SYM-005,night_sweats,systemic,0.73
SYM-006,weight_loss,systemic,0.68
SYM-007,sweating,systemic,0.86
SYM-008,lethargy,systemic,0.17
SYM-009,malaise,systemic,0.46
SYM-010,dehydration,systemic,0.13
SYM-011,cough,respiratory,0.29
SYM-012,shortness_of_breath,respiratory,0.53
SYM-013,wheezing,respiratory,0.12
SYM-014,sore_throat,respiratory,0.27
SYM-015,runny_nose,respiratory,0.65
SYM-016,nasal_congestion,respiratory,0.56
SYM-017,chest_tightness,respiratory,0.29
SYM-018,hoarseness,respiratory,0.6
SYM-019,sneezing,respiratory,0.79
SYM-020,rapid_breathing,respiratory,0.11
SYM-021,headache,neurological,0.78
SYM-022,light_sensitivity,neurological,0.69
SYM-023,stiff_neck,neurological,0.39
SYM-024,loss_of_smell,neurological,0.23
SYM-025,loss_of_taste,neurological,0.91
SYM-026,dizziness,neurological,0.39
SYM-027,confusion,neurological,0.18
SYM-028,blurred_vision,neurological,0.18
SYM-029,seizures,neurological,0.82
SYM-030,numbness,neurological,0.61
SYM-031,body_aches,musculoskeletal,0.79
SYM-032,joint_pain,musculoskeletal,0.72
SYM-033,muscle_cramps,musculoskeletal,0.56
SYM-034,back_pain,musculoskeletal,0.93
SYM-035,joint_swelling,musculoskeletal,0.42
SYM-036,muscle_weakness,musculoskeletal,0.57
SYM-037,stiffness,musculoskeletal,0.8
SYM-038,bone_pain,musculoskeletal,0.63
SYM-039,neck_pain,musculoskeletal,0.83
SYM-040,tremors,musculoskeletal,0.59
SYM-041,nausea,gastrointestinal,0.7
SYM-042,vomiting,gastrointestinal,0.14
SYM-043,diarrhea,gastrointestinal,0.29
SYM-044,abdominal_pain,gastrointestinal,0.35
SYM-045,loss_of_appetite,gastrointestinal,0.17
SYM-046,heartburn,gastrointestinal,0.3
SYM-047,bloating,gastrointestinal,0.19
SYM-048,cramping,gastrointestinal,0.34
SYM-049,indigestion,gastrointestinal,0.64
SYM-050,stomach_fullness,gastrointestinal,0.41
SYM-051,rash,dermatological,0.41
SYM-052,itching,dermatological,0.28
SYM-053,skin_redness,dermatological,0.33
SYM-054,hives,dermatological,0.9
SYM-055,dry_skin,dermatological,0.65
SYM-056,blisters,dermatological,0.62
SYM-057,skin_lesions,dermatological,0.25
SYM-058,flushing,dermatological,0.72
SYM-059,jaundice,dermatological,0.24
SYM-060,skin_peeling,dermatological,0.42
SYM-061,chest_pain,cardiovascular,0.94
SYM-062,palpitations,cardiovascular,0.64
SYM-063,irregular_heartbeat,cardiovascular,0.57
SYM-064,high_blood_pressure,cardiovascular,0.68
SYM-065,low_blood_pressure,cardiovascular,0.82
SYM-066,swollen_legs,cardiovascular,0.76
SYM-067,fainting,cardiovascular,0.29
SYM-068,cold_extremities,cardiovascular,0.13
SYM-069,weak_pulse,cardiovascular,0.37
SYM-070,cyanosis,cardiovascular,0.33
SYM-071,frequent_urination,urinary_renal,0.28
SYM-072,excessive_thirst,urinary_renal,0.9
SYM-073,painful_urination,urinary_renal,0.84
SYM-074,dark_urine,urinary_renal,0.37
SYM-075,blood_in_urine,urinary_renal,0.66
SYM-076,cloudy_urine,urinary_renal,0.44
SYM-077,flank_pain,urinary_renal,0.88
SYM-078,urinary_urgency,urinary_renal,0.49
SYM-079,reduced_urination,urinary_renal,0.33
SYM-080,incontinence,urinary_renal,0.31
SYM-081,eye_redness,ophthalmic_ent,0.58
SYM-082,earache,ophthalmic_ent,0.32
SYM-083,tinnitus,ophthalmic_ent,0.6
SYM-084,eye_discharge,ophthalmic_ent,0.86
SYM-085,dry_eyes,ophthalmic_ent,0.44
SYM-086,swollen_glands,ophthalmic_ent,0.29
SYM-087,difficulty_swallowing,ophthalmic_ent,0.95
SYM-088,nasal_discharge,ophthalmic_ent,0.53
SYM-089,eye_pain,ophthalmic_ent,0.18
SYM-090,hearing_loss,ophthalmic_ent,0.14
SYM-091,anxiety,psychiatric_cognitive,0.19
SYM-092,restlessness,psychiatric_cognitive,0.63
SYM-093,insomnia,psychiatric_cognitive,0.77
SYM-094,irritability,psychiatric_cognitive,0.46
SYM-095,brain_fog,psychiatric_cognitive,0.15
SYM-096,mood_swings,psychiatric_cognitive,0.42
SYM-097,memory_loss,psychiatric_cognitive,0.95
SYM-098,hallucinations,psychiatric_cognitive,0.55
SYM-099,panic,psychiatric_cognitive,0.93
SYM-100,agitation,psychiatric_cognitive,0.83
